Dimension,Verbatims
Productos,La use la una sola vez le hice una extension a mi hermana y le llegaron dos cuotas juntas en vez de tres cuotas llegaron dos cuotas juntas. Yo deposite para guardar plata pero el mismo banco despues me saco plata. El uso por mis hijos esposo en caso de urgencia
Canales y servicios,Nadie le soluciono el problema. Me gestiono el banco la clave y el usuario pero despues me generaron otra clave y en la sucursal me dijeron que una chica de capacitacion y me dijeron que lo haga por telefono pero me daba ocupado.
Calidad de atencion ,Porque boluvar es una ciudad chica y los conoce a la gente de la sucursal de cajas. El chico que esta en la caja lo conozco desde chica en cualquier momento se jubila. Trabaje con el seÒor de la seguridad de la sucursal uno de ellos. La atencion es excelente me atienden amablemente.
Disp. automaticos,Porque nunca me dejo en bando nunca tuve problemas de nada boluvar es una ciudad de 35 mil habitantes y siempre tuve acceso sacar plata saque siempre
Disp. automaticos,No veo que tenga que mejorar nada da lo que uno quiere toca los botones y le da lo que uno necesita sin complicaciones.
Canales y servicios,Esta bastante mas practica pare hacer las cosas ahora esta claro para hacer operaciones pagar control de cuentas
Tiempos de espera,Estuve una hora para que me atienden habua una sola persona para atender y estaba lleno de gente
Disp. automaticos,Habua varios y funcionaban todos es bueno cumplua su funcion tampoco tenua muchas funcionalidades sumas que entregar plata y hace
TCR,No tengo ninguna en la mente ahora depende de los ingresos de cada uno tuve un problema me adulteraron la tarjeta y me hicieron cargos por 1omil pesos ni visa ni el banco se dieron cuenta que me estaban usando la tarjeta y no tuve mucho apoyo del banco
Productos,Lo que me pasa con la visa los jueves no se porque ciertos jueves del mes me dice que no que esta rechazada øcomo puede ser? Es el dua que cierra la tarjeta yo averig¸e y tengo problemas en los comercios para comprar. Entonces compro con American. Conclusiones propias
Disp. automaticos,Porque es moderno es facil de usar. Esta limpito. Es una sucursal en un shopping euskal. En bancalari. En troncos del talar
Tiempos de espera,Siempre que voy a la caja de seguridad tengo que esperar. Hay menos personal que antes atendiendo. Para cualquier tramite hay que esperar.
Productos,Sobre todo por los puntos que me dieron de latam premio de hecho lo recomende a amigos
TCR,Tuve una experiencia mala hace unos aÒos con el banco frances habuamos recibido una tarjeta que no queruamos fue una sola mala experiencia
Tiempos de espera,Porque hay algunas actitudes que no es  de lo mejor falta de personal tardan mucho
Productos,Porque las veces que me robaron tuve que volver a pagar la tarjeta y para un cliente como yo de muchos aÒos debe ser gratis
Canales y servicios,Porque puedo resolver facilmente desde la computadora
Gestion de consultas,Porque a veces tener problemas con los empleados pero otras personas como superior de los empleados si me resuelven
Calidad de atencion ,Siempre y cuando que el empleado que me guste este el empleado de atencion al cliente no me atiende bien es pesima su atencion.
Canales y servicios,Tardan mucho en atender
TCR,Por ejemplo me cobraron mal el mantenimiento me lo cobraron de mas y me lo descontaron si yo no me quejaba no se daban cuenta
Productos,Tener por decir la zona donde yo vivo ser mas amplio los lugares de descuento los lugares donde hay descuentos son muy costosos no son para todo el pueblo
Canales y servicios,Es muy rapida entro enseguida y sin dar vueltas.
Productos,No tengo problemas en los comercios con las tarjetas.
Productos,Nunca me pusieron trabas en nada abru la cuenta corriente y al poco tiempo abru una caja de ahorro y no me pidieron nada para abrirla.
Disp. automaticos,Voy a sacar dinero o a hacer unas consultas y siempre estan operando. Nunca fui y no habua plata.
Tiempos de espera,Mucha cantidad de gente en un espacio reducido con poco personal en la parte de atencion al cliente
Canales y servicios,Las veces que me han ofrecido algo lo han cumplido lo mismo con mis solicitudes
Productos,No la uso tanto. No he tenido problema. Hay descuentos los he usado
Canales y servicios,Esta bastante simple lo entiendo bastante
Productos,Esta bien es uno el que la dispone mal. Se siente apretado y por ahu la maneja mal
Calidad de atencion ,La verdad muy buena atencion amigables y sociables.
Disp. automaticos,Porque es inseguro porque esta muy expuesto cuando uno saca plata y puede pasar cualquiera. Esta muy al p˙blico
Productos,Porque no me brinda ning˙n servicio salvo el de deposito.
Canales y servicios,No se. Siempre me atendieron bien. Habua llamado por un tema de la tarjeta porque le descontaban a mi marido los res˙menes las compras y no sabuamos eso.
Productos,Porque podemos sacar cosas sin problema ya sea mercaderua productos zapatos
Canales y servicios,Porque puedo consultar las cosas ahu. Entramos a la pagina y vemos las compras que hicimos ahu se detalla bien todo
Tiempos de espera,Agilizar el tiempo de espera para ser atendido en el sector de cajas y tambien con los ejecutivos de cuenta. Siempre hay demasiada demora para la atencion.
Productos,Por el sistema de puntos que tiene.
Canales y servicios,Porque es agil y me informa bien todo lo que necesito saber a cerca del banco.
Disp. automaticos,Porque esten habilitados todos los duas de la semana. Los de deposito a partir del viernes por la tarde ya dejan de funcionar hasta el lunes.
Calidad de atencion ,Nunca tuve problema con las operaciones mu buena la atencion.
Productos,Nunca tuve problemas con la tarjeta el lumite es bueno pero nunca me dieron extension y a los beneficios no le doy importancia.
Canales y servicios,Porque es bastante concreta cuando ingresas quieres saber la informacion de las tarjetas es mas rapido tenes todo allu.
Productos,Porque en todos los negocios que yo voy me la aceptan
Canales y servicios,Porque me han solucionado inconvenientes cuando los he tenido. No me acuerdo bien ahora
Canales y servicios,Tendrua mas agil porque no es tan facil acceder por las claves y que hay que hacer cambio de usuario a cada tanto. En el ultimo no puedo acceder a la pago y no puedo hacer el control
Productos,Porque jamas tuvimos problemas no la puedo comparar con otros bancos si los otros bancos son mejores si se te rompe la tarjeta en seguida te la renuevan te lo comunican tambien si hay alg˙n problema
Calidad de atencion ,Porque nunca tuvimos problemas la mayorua lo maneja mi marido pero tenemos problemas
Calidad de atencion ,Mayor entrenamiento en cuanto al trato del personal a los clientes. Tendruan que tener mas paciencia con los clientes.
Productos,Mejorarua los beneficios a descuentos promociones y cuotas con las mismas.
Disp. automaticos,Porque las veces que los utilice siempre operen positivamente no tuve ning˙n tipo de inconvenientes ni con falta de dinero ni por mal funcionamiento.
Canales y servicios,Que ni bien entro a la pagina sin tener que poner las claves poder acceder a la informacion de publicidad. Que salgan las novedades sin ingresar las calves. En el inicio.
Disp. automaticos,Digamos es facil de seguir los pasos digamos es preciso y facil el movimiento
Disp. automaticos,Autoservicios funcionan mal se cuelgan tarda mucho. Hay veces que tenes que esperar 5 minutos para que salga el ticket.
Tiempos de espera,La atencion es rapida. Las veces las fui a la sucursal me atienden rapido. Nunca espero mas de media hora.
Productos,La tarjeta tiene buenos descuentos pero pasa que tengo poco limite entonces tengo que apoyarme en otras tarjetas que tengo cenco sud y city. Los descuentos que uso es en compras de alimentos y descuento con coto el 20% y eso es bueno para mu. En otras tengo descuentos con agencia de turismo. Tengo descuento en euros y 6 cuotas sin interes. Los descuentos son muy buenos para mu lastima los lumites. Yo soy jubilado
Disp. automaticos,Por lo general no hay mucha gente no hay mucha cola. Tardo 8 minutos no mas que eso en operar. Son peores los de Santander porque no tienen dinero con respecto al HSBC no tengo ese problema.
Canales y servicios,Porque es bastante completa tiene informacion de todo tipo y por lo general puedo entrar facilmente
Layout sucursal,Porque la vez pasada fui a un horario por ejemplo 9 de la maÒana cerraron la sucursal porque tenuan que limpiar y a veces al horario del mediodua y no nos dejaban sacar plata. No debe mejorar en nada mas
Tiempos de espera,Cuando voy al banco tardan 3 horas atender.
Canales y servicios,Es facil el acceso y de utilizar. Facil de utilizar ya sea pagos de servicios. Solo para hace lo use porque soy cliente hace 2 meses.
Disp. automaticos,No tuve ning˙n inconveniente. Las veces que quise sacar plata habua plata en sucursal de Laferrere o en Banelco. Habua ticket ingreso la tarjeta bien
Productos,No se porque no la conozco mucho a la tarjeta me gustan las promociones que ofrece el banco porque las veo en los negocios por ejemplo en cheeky.
Productos,Por las promociones que tiene el banco con la tarjeta de credito ninguna en concreto yo uso muy poco al banco igualmente.
Disp. automaticos,En realidad te digo algo es como cualquier cajero deposito y listo. Es simple la operatoria. En la que yo voy es sin sobre es facil. A la que voy es a la de sarandu Es mas facil voy y listo. En la de Avellaneda al ser del centro tiene mas gente.
Tiempos de espera,No tuve demora en la sucursal sarandu. Alrededor de 15 minutos esperando en la lunea de cajas. Lo que pasa es que yo aparte de eso pagaba entonces iba una vez por mes hacia la cola. no esperaba mucho tiempo 20 como mucho
Disp. automaticos,Tendruan que mejorar en los feriados esta constantemente con gente. Puede ser que necesiten 30 minutos desaparece y vuelven otra vez a trabajar. Estan siempre ocupados. Siempre en actividad y pienso que a lo mejor sufren un desgaste. A veces se traban no funcionan
Productos,Porque para lo que el uso me sirve aunque me gustarua tener mas limite en la tarjeta.
Canales y servicios,Todo lo que consulto esta bien y claro en la pagina un 8 esta bien.
Disp. automaticos,Estan empezando a mejorar el servicio por ej. Pusieron mas maquinas de depositos en efectivo pusieron maquinas mas nuevas y funcionan mejor tienen mas opciones.
Productos,La reciben en todos lados tiene algunas buenas promociones de cuotas o en negocios no recuerdo ninguna en concreto ahora.
Canales y servicios,Porque cubre toda la informacion y es lo que mas uso del banco por ej. Informacion de cuentas de fondos de plazo fijos res˙menes de cuenta.
Gestion de consultas,Siempre me solucionaron los problemas o el tramite que tuviera que hacer por ejemplo cuando necesite hacer transferencias depositos.
